sep=,
0,973.1091582947988
1,973.1091582947988
2,229.30845490004495
3,39.248621814398604
4,5.42610237539219
5,1.3392031400358777
6,0.34194627450476517
7,0.1607676316911834
8,-8.99537183012661e-2
9,-0.18399857993849028
10,-0.24508942782952828
11,-0.28930976049582885
12,-0.32930352592903633
13,-0.48330131231799567
14,-0.4899056099934523
15,-0.6201670193907295
16,-0.6483831242295873
17,-0.6561728760564614
18,-0.6662889384138395
19,-0.6859430060879488
20,-0.6890049848895811
21,-0.6991539749648841
22,-0.7028025862857201
23,-0.7154378680004787
24,-0.7215256378080512
25,-0.7482541056578701
26,-0.7529395854262104
27,-0.7578086779307557
28,-0.7734292896023274
29,-0.7753097839178349
30,-0.7753097839178349
31,-0.7842049053118804
32,-0.7883810899410565
33,-0.7908422448427922
34,-0.7908422448427922
35,-0.7908422448427922
36,-0.8180348444849518
37,-0.8238957025709189
38,-0.8238957025709189
39,-0.8238957025709189
40,-0.8565948381420821
41,-0.8578875555714324
42,-0.8578875555714324
43,-0.8578875555714324
44,-0.873392290094107
45,-0.8797556030611582
46,-0.8805095545993771
47,-0.8805095545993771
48,-0.8819131197632936
49,-0.8846825429051977
50,-0.8846825429051977
51,-0.8846825429051977
52,-0.8960600024038488
53,-0.8960600024038488
54,-0.8960600024038488
55,-0.8960600024038488
56,-0.8987704669358573
57,-0.8987704669358573
58,-0.8987704669358573
59,-0.8987704669358573
60,-0.8987704669358573
61,-0.8987928616288798
62,-0.8987928616288798
63,-0.8987928616288798
64,-0.8987928616288798
65,-0.8989324489048794
66,-0.9014818818955939
67,-0.9015142027482875
68,-0.9015142027482875
69,-0.9041567692318293
70,-0.9041567692318293
71,-0.9062046721400117
72,-0.9062046721400117
73,-0.9062046721400117
74,-0.9062046721400117
75,-0.9062046721400117
76,-0.9062046721400117
77,-0.9062046721400117
78,-0.9062046721400117
79,-0.9062046721400117
80,-0.9062046721400117
81,-0.9062046721400117
82,-0.9062046721400117
83,-0.9078877783726518
84,-0.9078877783726518
85,-0.9078877783726518
86,-0.9078877783726518
87,-0.9078877783726518
88,-0.908724664979346
89,-0.908724664979346
90,-0.908724664979346
91,-0.9106040763572858
92,-0.9106040763572858
93,-0.9130594662378051
94,-0.9130594662378051
95,-0.9130594662378051
96,-0.9130594662378051
97,-0.913167293808202
98,-0.913167293808202
99,-0.913167293808202
100,-0.9636489770928598
101,-0.9639390917382038
102,-0.9639390917382038
103,-0.9639390917382038
104,-0.9639390917382038
105,-0.9639390917382038
106,-0.9639390917382038
107,-0.9639390917382038
108,-0.9663941205785512
109,-0.9684609567026444
110,-0.9684609567026444
111,-0.9684609567026444
112,-0.9684609567026444
113,-0.9691853456597395
114,-0.9754333957334727
115,-0.9754333957334727
116,-0.9754333957334727
117,-0.9779099153701383
118,-0.9779099153701383
119,-0.9779099153701383
120,-0.9779099153701383
121,-0.9779099153701383
122,-0.9779099153701383
123,-0.9779099153701383
124,-0.9779099153701383
125,-0.9779099153701383
126,-0.9779099153701383
127,-0.9779099153701383
128,-0.9779099153701383
129,-0.9779099153701383
130,-0.9779099153701383
131,-0.9781279260696478
132,-0.9781279260696478
133,-0.9781279260696478
134,-0.9798023269783268
135,-0.9798023269783268
136,-0.9798023269783268
137,-0.9798023269783268
138,-0.9798023269783268
139,-0.9798023269783268
140,-0.9798023269783268
141,-0.9798023269783268
142,-0.98358222143231
143,-0.98358222143231
144,-0.98358222143231
145,-0.98358222143231
146,-0.9852714440659439
147,-0.9852714440659439
148,-0.9852714440659439
149,-0.9852714440659439
150,-0.9948552593082387
151,-0.9948552593082387
152,-0.9948552593082387
153,-0.9948552593082387
154,-0.9948552593082387
155,-0.9948552593082387
156,-0.9948552593082387
157,-0.9948552593082387
158,-0.9948552593082387
159,-0.9948552593082387
160,-0.9948552593082387
161,-0.9948552593082387
162,-0.9948552593082387
163,-0.9999226055007477
164,-0.9999226055007477
165,-0.9999226055007477
166,-0.9999226055007477
167,-1.0008308324410071
168,-1.0008308324410071
169,-1.0008308324410071
170,-1.0008308324410071
171,-1.0008308324410071
172,-1.0008308324410071
173,-1.0008308324410071
174,-1.0008308324410071
175,-1.0008849479112696
176,-1.0008849479112696
177,-1.0008849479112696
178,-1.0008849479112696
179,-1.0015407399209673
180,-1.0015407399209673
181,-1.0015407399209673
182,-1.0015407399209673
183,-1.0015407399209673
184,-1.0020568808149917
185,-1.0020568808149917
186,-1.0020568808149917
187,-1.0020568808149917
188,-1.002551084659579
189,-1.002551084659579
190,-1.002551084659579
191,-1.002551084659579
192,-1.002551084659579
193,-1.002551084659579
194,-1.002551084659579
195,-1.002551084659579
196,-1.002551084659579
197,-1.002551084659579
198,-1.002551084659579
199,-1.0028593869352684
200,-1.0028593869352684
201,-1.0028593869352684
202,-1.0028593869352684
203,-1.0028593869352684
204,-1.0028593869352684
205,-1.0028593869352684
206,-1.0028593869352684
207,-1.0028593869352684
208,-1.0028593869352684
209,-1.0028593869352684
210,-1.0028593869352684
211,-1.0028593869352684
212,-1.0028593869352684
213,-1.0028593869352684
214,-1.0030919192545245
215,-1.0030919192545245
216,-1.0031608275384505
217,-1.0031608275384505
218,-1.0031608275384505
219,-1.0035811037829019
220,-1.0035811037829019
221,-1.0035811037829019
222,-1.0035811037829019
223,-1.0035811037829019
224,-1.0035811037829019
