sep=,
0,-0.8098516629399004
1,-0.8098516629399004
2,-1.029114820510875
3,-1.029114820510875
4,-1.029114820510875
5,-1.029114820510875
6,-1.029114820510875
7,-1.029114820510875
8,-1.029114820510875
9,-1.029114820510875
10,-1.029114820510875
11,-1.029114820510875
12,-1.029114820510875
13,-1.029114820510875
14,-1.0313980440262775
15,-1.0313980440262775
16,-1.0313980440262775
17,-1.0313980440262775
18,-1.0313980440262775
19,-1.0313980440262775
20,-1.0313980440262775
21,-1.0314858022615792
22,-1.0314858022615792
23,-1.0314858022615792
24,-1.0314858022615792
25,-1.0314858022615792
26,-1.0314858022615792
27,-1.0314858022615792
28,-1.0314858022615792
29,-1.0314858022615792
30,-1.0314858022615792
31,-1.0314858022615792
32,-1.0314858022615792
33,-1.0314858022615792
34,-1.0314858022615792
35,-1.0314858022615792
36,-1.0314858022615792
37,-1.0314858022615792
38,-1.0314858022615792
39,-1.0314858022615792
40,-1.0314858022615792
41,-1.0314858022615792
42,-1.0314858022615792
43,-1.0314858022615792
44,-1.0314858022615792
45,-1.0314858022615792
46,-1.0314858022615792
47,-1.0314858022615792
48,-1.0314858022615792
49,-1.0314858022615792
50,-1.0314858022615792
51,-1.0314858022615792
52,-1.0314858022615792
53,-1.0314858022615792
54,-1.0314858022615792
55,-1.0314858022615792
56,-1.0314858022615792
57,-1.0314858022615792
58,-1.0314858022615792
59,-1.0314858022615792
60,-1.0314858022615792
61,-1.0314858022615792
62,-1.0314858022615792
63,-1.0314858022615792
64,-1.0314858022615792
65,-1.0314858022615792
66,-1.0314858022615792
67,-1.0314858022615792
68,-1.0314858022615792
69,-1.0314858022615792
70,-1.0314858022615792
71,-1.0314858022615792
72,-1.0314858022615792
73,-1.0314858022615792
74,-1.0314858022615792
75,-1.0314858022615792
76,-1.0315925424845231
77,-1.0315925424845231
78,-1.0315925424845231
79,-1.0315925424845231
80,-1.0315925424845231
81,-1.0315925424845231
82,-1.0315925424845231
83,-1.0315925424845231
84,-1.0315925424845231
85,-1.0315925424845231
86,-1.0315925424845231
87,-1.0315925424845231
88,-1.0315925424845231
89,-1.0315925424845231
90,-1.0315925424845231
91,-1.0315925424845231
92,-1.0315925424845231
93,-1.0315925424845231
94,-1.0315925424845231
95,-1.0315925424845231
96,-1.0315925424845231
97,-1.0315925424845231
98,-1.0315925424845231
99,-1.0315925424845231
100,-1.0315925424845231
101,-1.0315925424845231
102,-1.0315925424845231
103,-1.0315925424845231
104,-1.0315925424845231
105,-1.0315925424845231
106,-1.0315925424845231
107,-1.0315925424845231
108,-1.0315925424845231
109,-1.0315925424845231
110,-1.0315925424845231
111,-1.0315925424845231
112,-1.0315925424845231
113,-1.0315925424845231
114,-1.0315925424845231
115,-1.0315925424845231
116,-1.0315925424845231
117,-1.0315925424845231
118,-1.0315925424845231
119,-1.0315925424845231
120,-1.0315925424845231
121,-1.0315925424845231
122,-1.0315925424845231
123,-1.0315925424845231
124,-1.0315925424845231
125,-1.0315925424845231
126,-1.0315925424845231
127,-1.0315925424845231
128,-1.0315925424845231
129,-1.0315925424845231
130,-1.0315925424845231
131,-1.0315925424845231
132,-1.0315925424845231
133,-1.0315925424845231
134,-1.0315925424845231
135,-1.0315925424845231
